,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
49,,22.14,0.87,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.0013057904465
39,5.35,12.41,0.62,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.00131291113974
117,,23.14,1.39,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.00132771010293
22,,16.17,,jsat,4.5,6.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.0013329613372
20,4.83,0.23,1.17,jsat,4.5,5.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,0.00139443138524
109,2.4,19.77,0.42,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.00141213675949
102,2.37,22.31,0.45,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.00146716129012
120,,2.86,1.93,jsat,10,10.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.00147235742293
118,,5.86,1.58,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.00147467798486
28,2.81,7.38,0.19,jsat,3,4.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,0.0014773078962
15,0.09,3.81,0.05,jsat,4.5,5.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,0.00150851286555
