,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
6,4.83,9.54,1.55,jsat,2,5.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,12947.9516044
93,5.57,12.46,0.73,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,13198.6787787
88,2.45,5.23,1.24,jsat,3,5.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,13389.8499873
77,2.94,7.74,0.11,jsat,3.5,2.5,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,13442.6177056
13,7.72,20.37,1.01,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,13508.836466
87,2.94,3.71,0.28,jsat,3,2.5,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,13640.9307606
5,5.32,0.6,0.59,jsat,2,2.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,13756.5984284
32,2.75,6.3,0.14,jsat,3,2.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,13905.6074503
21,,1.97,1.2,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,13964.5949941
96,,13.68,1.38,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,14317.3396306
59,,0.0,1.05,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,14518.4463191
78,2.45,1.2,1.07,jsat,3.5,5.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,14577.1869479
39,5.35,12.41,0.62,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,14814.2570676
48,2.33,19.94,1.5,jsat,2?,5.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,14884.9737699
12,8.22,14.6,1.11,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,14908.3131564
67,5.41,12.98,0.16,jsat,5,2.5,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,15102.5818782
86,2.97,6.25,0.25,jsat,3,2.5,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,15525.327562
19,5.32,9.17,0.21,jsat,4.5,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,15552.6730006
20,4.83,0.23,1.17,jsat,4.5,5.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,16142.658069
79,,3.4,1.3,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,16586.6285466
111,,16.4,,jsat,5,6.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,16666.7231261
47,2.82,11.0,0.54,jsat,2?,2.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,16940.7646064
95,5.34,16.06,0.7,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,17188.1072321
58,5.04,2.2,1.32,jsat,4,5.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,17351.3486269
7,,11.74,0.82,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,18080.3712697
98,3.57,9.46,0.01,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,18301.3588723
