,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
514,3.99,3.16,0.66,jsat,,2,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,21378.6584492
1139,2.63,2.04,0.35,jsat,3?,4.5,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,21453.8299132
214,1.15,10.45,0.65,jsat,2,,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,21523.6564769
245,4.12,19.45,0.63,jsat,2,,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,21543.6877747
853,1.6,0.53,0.56,jsat,,3?,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,21727.32865
821,4.74,8.47,1.41,jsat,,,32235 (6.07-6.42),25.5268,0.0,0.862729,13.49,19.34,7.61,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,21817.2529142
516,3.11,1.69,0.53,jsat,,4.5,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,21824.8178916
792,5.16,4.99,0.91,jsat,,,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,21945.2908569
1068,7.3,9.5,1.02,jsat,,2,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,22021.6571974
489,2.08,0.88,0.74,jsat,,,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,22051.9738624
